ts,tput_mbps,cpu02,ram02,sig02,mcs02,cpu01,ram01,sig01,mcs01
1788961282,9.65,19,201,-29,7,7,181,-28,7
1788961292,9.44,16,202,-29,7,10,182,-28,7
1788961302,9.54,17,202,-29,7,6,183,-26,7
1788961313,8.49,16,201,-29,7,6,184,-30,7
1788961323,9.54,14,201,-30,7,4,184,-29,7
1788961333,9.54,14,199,-28,7,3,183,-29,7
1788961344,8.60,14,202,-27,7,3,182,-30,7
1788961354,9.54,14,201,-29,7,2,181,-29,7
1788961365,9.65,15,204,-30,7,2,182,-27,7
1788961375,9.65,13,202,-31,7,1,181,-24,7
1788961386,9.44,15,203,-29,7,3,183,-28,6
1788961396,9.54,15,199,-30,7,4,182,-27,7
1788961406,9.54,13,203,-29,7,2,184,-29,7
1788961417,8.49,14,202,-29,7,4,182,-29,7
1788961427,9.75,16,200,-31,7,4,181,-30,7
1788961437,9.65,16,202,-30,7,3,182,-28,7
1788961448,8.39,15,202,-28,7,4,184,-30,7
1788961458,9.75,14,200,-29,7,3,183,-29,7
1788961468,9.65,15,201,-24,7,2,184,-28,7
1788961479,9.44,15,201,-29,6,4,183,-29,7
1788961489,8.49,13,201,-28,7,3,184,-28,7
1788961499,9.54,15,201,-28,7,3,181,-27,7
1788961510,9.44,15,202,-29,7,3,183,-28,7
1788961520,9.65,15,203,-30,7,2,182,-28,7
1788961531,8.60,15,201,-30,7,3,182,-28,7
1788961541,8.60,13,201,-28,7,4,182,-31,7
1788961551,9.54,13,204,-29,7,4,183,-28,7
1788961562,9.54,12,199,-30,7,5,183,-27,7
1788961572,9.54,14,201,-29,7,2,181,-28,7
1788961582,8.39,16,199,-31,7,2,181,-28,7
1788961593,9.44,15,199,-29,7,3,183,-28,7
1788961603,9.54,15,199,-30,7,3,183,-29,7
1788961613,9.54,13,200,-29,7,3,183,-29,7
1788961624,9.54,16,200,-28,7,2,184,-29,7
1788961634,9.54,15,200,-27,7,2,184,-28,7
1788961644,8.49,16,200,-30,7,2,182,-30,7
1788961655,9.65,15,201,-29,7,3,182,-28,7
1788961665,9.54,15,199,-29,7,2,183,-26,7
1788961676,9.54,12,200,-31,7,1,181,-29,7
1788961686,9.54,14,203,-29,7,3,183,-28,7
1788961696,9.44,13,199,-30,7,1,182,-29,7
1788961707,8.70,12,200,-30,7,1,182,-30,7
1788961717,9.54,13,206,-29,7,3,182,-26,7
1788961728,9.65,17,203,-29,7,2,182,-28,7
1788961738,9.86,17,201,-29,7,6,184,-28,7
1788961748,8.39,15,204,-28,7,1,186,-29,7
1788961759,9.54,16,203,-29,7,2,185,-28,7
1788961769,9.44,16,203,-30,7,3,184,-30,7
1788961779,9.54,19,206,-31,7,1,184,-29,7
1788961790,9.44,18,204,-30,7,3,183,-28,7
1788961800,9.65,19,199,-29,7,3,183,-30,7
1788961810,8.60,18,204,-24,7,1,182,-29,7
1788961821,9.54,17,203,-30,7,2,183,-28,7
1788961831,9.44,18,203,-30,7,3,182,-27,7
1788961841,9.33,17,201,-29,7,2,184,-28,7
1788961852,9.54,17,203,-30,7,7,185,-29,7
1788961862,8.49,18,204,-27,7,6,185,-26,7
1788961873,9.44,18,202,-34,7,5,186,-30,7
1788961883,9.54,16,201,-30,7,6,184,-28,7
1788961893,9.54,1,197,-30,7,2,180,-28,7
1788961903,9.30,2,199,-29,7,2,180,-28,7
1788961914,9.30,3,198,-30,7,3,181,-29,7
1788961924,9.30,5,198,-30,7,3,180,-27,7
1788961934,9.30,5,195,-30,7,0,180,-29,7
